Subject,Method,raw_gate,effective_gate,confidence,updated,effective_source_weight,effective_ema_weight,effective_batch_weight,probe_gate,min_gate,batch_index,batch_size,true_class_0_count,true_class_0_ratio,true_class_1_count,true_class_1_ratio,true_class_2_count,true_class_2_ratio,true_max_class_ratio,true_num_present_classes,g_mi,effective_mi_gate,diversity_norm,sample_entropy_norm,w_source,w_ema,w_batch,rho,n_eff,alpha,entropy_updated,loss_entropy,gate_threshold,gate_aware_ema,dynamic_mixture_weights,pred_class_0_count,pred_class_0_ratio,pred_class_1_count,pred_class_1_ratio,pred_class_2_count,pred_class_2_ratio,pred_max_class_ratio,pred_num_present_classes,true_imbalance,dua_momentum,rotta_memory_occupancy,note_memory_occupancy,note_updated,note_loss,delta_loss,delta_used_samples
S10,EMATent,0.1306767761707306,0.1306767761707306,0.9728370308876038,0.0,0.4607969671487808,0.5,0.03920303285121918,0.0,0.0,0,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.8759254217147827,0.8759254217147827,0.64501953125,1.0,0.23722237348556519,0.5,0.2627776265144348,0.0,0.0,1,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.87811279296875,0.87811279296875,0.6101438403129578,1.0,0.236566162109375,0.5,0.26343383789062497,0.0,0.0,2,64,64,1.0,0,0.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.8425609469413757,0.8425609469413757,0.7799001336097717,1.0,0.2472317159175873,0.5,0.2527682840824127,0.0,0.0,3,64,44,0.6875,0,0.0,20,0.3125,0.6875,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.12073220312595367,0.12073220312595367,0.9737064242362976,0.0,0.4637803390622139,0.5,0.0362196609377861,0.0,0.0,4,64,0,0.0,9,0.140625,55,0.859375,0.859375,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.656814694404602,0.656814694404602,0.7484496831893921,1.0,0.3029555916786194,0.5,0.19704440832138062,0.0,0.0,5,64,0,0.0,64,1.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.6723991632461548,0.6723991632461548,0.6535634398460388,1.0,0.2982802510261536,0.5,0.20171974897384642,0.0,0.0,6,64,0,0.0,64,1.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,EMATent,0.6890920400619507,0.6890920400619507,0.6555571556091309,1.0,0.2932723879814148,0.5,0.2067276120185852,0.0,0.0,7,8,0,0.0,8,1.0,0,0.0,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S10,DynaMixEMATent,,,,,,,,,,0,64,64,1.0,0,0.0,0,0.0,1.0,1,0.02514992468059063,0.1306767761707306,0.1306767761707306,0.10552685707807541,0.9000269668894275,0.060770000259353266,0.03920303285121918,0.06324957544328191,8.363313674926758,0.19999999999999996,0.0,0.1214509904384613,0.2,0.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666667,,,,,,,
S10,DynaMixEMATent,,,,,,,,,,1,64,64,1.0,0,0.0,0,0.0,1.0,1,0.09044493734836578,0.6424402594566345,0.6424402594566345,0.5519953370094299,0.5484505348616188,0.25881738730139087,0.19273207783699034,0.3206090322626848,49.47949028015137,0.19999999999999996,1.0,0.9747902154922485,0.2,0.0,1.0,24.0,0.375,36.0,0.5625,4.0,0.0625,0.5625,3.0,0.6666666666666667,,,,,,,
S10,DynaMixEMATent,,,,,,,,,,2,64,64,1.0,0,0.0,0,0.0,1.0,1,0.12087015062570572,0.8703261613845825,0.8703261613845825,0.749455988407135,0.3248761091894649,0.41402604239516033,0.26109784841537476,0.5603259396487799,105.18036460876465,0.19999999999999996,1.0,0.9025073051452637,0.2,0.0,1.0,7.0,0.109375,47.0,0.734375,10.0,0.15625,0.734375,3.0,0.6666666666666667,,,,,,,
S10,DynaMixEMATent,,,,,,,,,,3,64,44,0.6875,0,0.0,20,0.3125,0.6875,2,0.488081693649292,0.9917150139808655,0.9917150139808655,0.5036333203315735,0.18811352725613092,0.5143719685496094,0.2975145041942596,0.7322172082138614,168.65012550354004,0.19999999999999996,1.0,0.5730785131454468,0.2,0.0,1.0,0.0,0.0,42.0,0.65625,22.0,0.34375,0.65625,2.0,0.3541666666666667,,,,,,,
