Subject,Accuracy,F1_Non_Stress_0,F1_Stress_1,Mean_F1,TN,FP,FN,TP,Fixed_Epochs,Checkpoint,Report,History
S10,0.6558441558441559,0.792156862745098,0.0,0.396078431372549,404,67,145,0,20,./ckpt_fixed/wesad/cnn1d/S10/wesad_S10_checkpoint.pt,"{'0': {'precision': 0.7358834244080146, 'recall': 0.8577494692144374, 'f1-score': 0.792156862745098, 'support': 471.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 145.0}, 'accuracy': 0.6558441558441559, 'macro avg': {'precision': 0.3679417122040073, 'recall': 0.4288747346072187, 'f1-score': 0.396078431372549, 'support': 616.0}, 'weighted avg': {'precision': 0.5626641118444398, 'recall': 0.6558441558441559, 'f1-score': 0.6056913674560733, 'support': 616.0}}","{'loss': [0.5097338292155975, 0.27731158348274537, 0.2003856300258426, 0.20252878275175398, 0.18105831643763667, 0.13000783759948106, 0.13104778606418366, 0.10725704194900741, 0.08898162806940357, 0.10392740133116987, 0.08266740215928703, 0.07299423399803152, 0.06332021633698613, 0.06552429887421561, 0.06798311124725492, 0.06973557599597564, 0.05158206482015187, 0.055204409187458885, 0.0590504645991829, 0.05337194051993236], 'accuracy': [0.8160878386442296, 0.9146676214345387, 0.9428332736603413, 0.9409237379162191, 0.9483231889246927, 0.9635994748776704, 0.9634801288936627, 0.9695667740780523, 0.9764888411504953, 0.9752953813104189, 0.9781596849266022, 0.9826948323188924, 0.9834109082229383, 0.9843656760949994, 0.9838882921589689, 0.9810239885427855, 0.9879460556152285, 0.9863945578231292, 0.9852010979830529, 0.9863945578231292]}"
S11,0.7768595041322314,0.8741845293569431,0.014598540145985401,0.44439153475146426,469,0,135,1,20,./ckpt_fixed/wesad/cnn1d/S11/wesad_S11_checkpoint.pt,"{'0': {'precision': 0.7764900662251656, 'recall': 1.0, 'f1-score': 0.8741845293569431, 'support': 469.0}, '1': {'precision': 1.0, 'recall': 0.007352941176470588, 'f1-score': 0.014598540145985401, 'support': 136.0}, 'accuracy': 0.7768595041322314, 'macro avg': {'precision': 0.8882450331125828, 'recall': 0.5036764705882353, 'f1-score': 0.44439153475146426, 'support': 605.0}, 'weighted avg': {'precision': 0.8267336215861201, 'recall': 0.7768595041322314, 'f1-score': 0.6809552821954716, 'support': 605.0}}","{'loss': [0.4807124357257611, 0.28227834861383677, 0.2442701211418952, 0.21552365545152338, 0.17930253638982488, 0.1661950353084574, 0.14744566805456477, 0.14826191190599117, 0.11819584744053319, 0.13876339782548888, 0.1067104978844328, 0.09980466037775536, 0.09025662866764046, 0.09497374234381392, 0.09657483885200145, 0.08994090048611804, 0.06614362188260803, 0.08975830963669573, 0.06643938239623878, 0.07893727644123537], 'accuracy': [0.8388557806912992, 0.9116805721096544, 0.9225268176400476, 0.9359952324195471, 0.9471990464839094, 0.9547079856972587, 0.9580452920143028, 0.9598331346841478, 0.9698450536352801, 0.9581644815256257, 0.9718712753277712, 0.9741358760429082, 0.9764004767580453, 0.9755661501787842, 0.9738974970202622, 0.9761620977353993, 0.9816448152562575, 0.9760429082240762, 0.9818831942789035, 0.9799761620977354]}"
S13,0.8675496688741722,0.9143468950749465,0.708029197080292,0.8111880460776193,427,44,36,97,20,./ckpt_fixed/wesad/cnn1d/S13/wesad_S13_checkpoint.pt,"{'0': {'precision': 0.9222462203023758, 'recall': 0.9065817409766455, 'f1-score': 0.9143468950749465, 'support': 471.0}, '1': {'precision': 0.6879432624113475, 'recall': 0.7293233082706767, 'f1-score': 0.708029197080292, 'support': 133.0}, 'accuracy': 0.8675496688741722, 'macro avg': {'precision': 0.8050947413568617, 'recall': 0.8179525246236611, 'f1-score': 0.8111880460776193, 'support': 604.0}, 'weighted avg': {'precision': 0.870653019309815, 'recall': 0.8675496688741722, 'f1-score': 0.8689160112449976, 'support': 604.0}}","{'loss': [0.5346555722873609, 0.2748598365175072, 0.1864750351734169, 0.16148042035619972, 0.13278482645798215, 0.11328017786225124, 0.14127601844564608, 0.09302612938015264, 0.09423519944266673, 0.10801957920027186, 0.07893322802205031, 0.08948575302438164, 0.06489581028613299, 0.05740036606387293, 0.0707383001478041, 0.06973715072528582, 0.07992596790050667, 0.057509361289351905, 0.08029046630372082, 0.057973682246423], 'accuracy': [0.8262424025741866, 0.9120486235252055, 0.9444643069955905, 0.954355857466333, 0.962698128947682, 0.9704445238946491, 0.9605529734239066, 0.9744964843284472, 0.9737814324871886, 0.9711595757359075, 0.9791443212966273, 0.9773566916934812, 0.9836729829579312, 0.985937313788583, 0.9823620545822905, 0.9828387558097962, 0.9817661780479084, 0.9858181384817066, 0.981647002741032, 0.9856989631748302]}"
S14,0.7164179104477612,0.82389289392379,0.2723404255319149,0.5481166597278524,400,68,103,32,20,./ckpt_fixed/wesad/cnn1d/S14/wesad_S14_checkpoint.pt,"{'0': {'precision': 0.7952286282306164, 'recall': 0.8547008547008547, 'f1-score': 0.82389289392379, 'support': 468.0}, '1': {'precision': 0.32, 'recall': 0.23703703703703705, 'f1-score': 0.2723404255319149, 'support': 135.0}, 'accuracy': 0.7164179104477612, 'macro avg': {'precision': 0.5576143141153082, 'recall': 0.5458689458689459, 'f1-score': 0.5481166597278524, 'support': 603.0}, 'weighted avg': {'precision': 0.6888341592237619, 'recall': 0.7164179104477612, 'f1-score': 0.7004109980151612, 'support': 603.0}}","{'loss': [0.4915101980174349, 0.263570123791581, 0.19345001974369483, 0.1807781128058329, 0.13225229743608868, 0.13215886049320633, 0.12516335860335112, 0.16006996085577857, 0.13165973899646302, 0.1565800644990032, 0.09028738216511209, 0.0958342384582508, 0.0820463865327767, 0.08340123442451765, 0.07030868454886471, 0.08467784087156772, 0.07835485044692787, 0.10588497518463233, 0.06024186070156137, 0.07082290427718894], 'accuracy': [0.821139180171592, 0.9183746425166825, 0.9413727359389895, 0.9486415633937083, 0.9644899904671115, 0.9662774070543375, 0.9669923736892279, 0.9549571020019065, 0.9661582459485224, 0.9581744518589133, 0.9764061010486177, 0.9756911344137273, 0.978789323164919, 0.9798617731172545, 0.9820066730219257, 0.9791468064823642, 0.9793851286939943, 0.9735462345090562, 0.9841515729265967, 0.9817683508102956]}"
S15,0.7508250825082509,0.83745963401507,0.4664310954063604,0.6519453647107152,389,80,71,66,20,./ckpt_fixed/wesad/cnn1d/S15/wesad_S15_checkpoint.pt,"{'0': {'precision': 0.8456521739130435, 'recall': 0.8294243070362474, 'f1-score': 0.83745963401507, 'support': 469.0}, '1': {'precision': 0.4520547945205479, 'recall': 0.48175182481751827, 'f1-score': 0.4664310954063604, 'support': 137.0}, 'accuracy': 0.7508250825082509, 'macro avg': {'precision': 0.6488534842167957, 'recall': 0.6555880659268828, 'f1-score': 0.6519453647107152, 'support': 606.0}, 'weighted avg': {'precision': 0.7566705881427928, 'recall': 0.7508250825082509, 'f1-score': 0.7535802449236619, 'support': 606.0}}","{'loss': [0.5137651610046196, 0.2996558163420302, 0.23272365541250092, 0.23459729665595253, 0.16756724870230505, 0.14411492537565432, 0.17037396668403762, 0.10739715822176031, 0.10428349222979676, 0.10849406927671261, 0.11552591598939627, 0.07795802388632876, 0.11939806794790563, 0.09038033140056116, 0.07195831113365875, 0.04372276604843447, 0.08103039168422677, 0.06370562481246414, 0.0844215179302508, 0.06728069080908679], 'accuracy': [0.8174991059721063, 0.9009417093813327, 0.9321730838002146, 0.9284777685063774, 0.9536297532483013, 0.9603051615210395, 0.9510072714268685, 0.9737751817856717, 0.9710334962450828, 0.9743712003814519, 0.9712719036833949, 0.9805697937775658, 0.9691262367385862, 0.9772320896411968, 0.9825962570032185, 0.990344498748361, 0.9811658123733461, 0.9847419239480272, 0.9787817379902253, 0.9834306830373107]}"
S16,0.6146179401993356,0.6704545454545454,0.536,0.6032272727272727,236,232,0,134,20,./ckpt_fixed/wesad/cnn1d/S16/wesad_S16_checkpoint.pt,"{'0': {'precision': 1.0, 'recall': 0.5042735042735043, 'f1-score': 0.6704545454545454, 'support': 468.0}, '1': {'precision': 0.366120218579235, 'recall': 1.0, 'f1-score': 0.536, 'support': 134.0}, 'accuracy': 0.6146179401993356, 'macro avg': {'precision': 0.6830601092896175, 'recall': 0.7521367521367521, 'f1-score': 0.6032272727272727, 'support': 602.0}, 'weighted avg': {'precision': 0.8589038360292649, 'recall': 0.6146179401993356, 'f1-score': 0.640526125037753, 'support': 602.0}}","{'loss': [0.5072112782491798, 0.2522973747044912, 0.17597199669472868, 0.1749100886985711, 0.13517209687946552, 0.11038470276505248, 0.11499829089561321, 0.10518200614377653, 0.12958301126381702, 0.07295838388462668, 0.09376206307321429, 0.07869912873046782, 0.07640814413836415, 0.06992005797836078, 0.08220701530552672, 0.07010617706625961, 0.10285411654871339, 0.07308917180951838, 0.0892100548355028, 0.06507408595136277], 'accuracy': [0.8237817228642916, 0.9198141308233051, 0.9466221851542952, 0.9494817109496009, 0.962826164661027, 0.968187775527225, 0.9678303348028119, 0.9730727987608722, 0.9660431311807458, 0.9796258787084475, 0.974502561658525, 0.9787918503514834, 0.9799833194328608, 0.9801024663409984, 0.9765280590968665, 0.9801024663409984, 0.9715238889550816, 0.9805790539735494, 0.9761706183724532, 0.9804599070654116]}"
S17,0.9401993355481728,0.9617834394904459,0.8625954198473282,0.912189429668887,453,4,32,113,20,./ckpt_fixed/wesad/cnn1d/S17/wesad_S17_checkpoint.pt,"{'0': {'precision': 0.934020618556701, 'recall': 0.9912472647702407, 'f1-score': 0.9617834394904459, 'support': 457.0}, '1': {'precision': 0.9658119658119658, 'recall': 0.7793103448275862, 'f1-score': 0.8625954198473282, 'support': 145.0}, 'accuracy': 0.9401993355481728, 'macro avg': {'precision': 0.9499162921843334, 'recall': 0.8852788047989135, 'f1-score': 0.912189429668887, 'support': 602.0}, 'weighted avg': {'precision': 0.9416780028623712, 'recall': 0.9401993355481728, 'f1-score': 0.9378926374169375, 'support': 602.0}}","{'loss': [0.5375677998427709, 0.2830041668155999, 0.22974038470559108, 0.19712260464554987, 0.17701906168913936, 0.16248030967128926, 0.14469552284398893, 0.14254505296550574, 0.12426603747666926, 0.1086262305516048, 0.09505291401551645, 0.11756089337265109, 0.09424091374350009, 0.10196489940272496, 0.08080020668729651, 0.0764221746674684, 0.11235400620147978, 0.0649945911272595, 0.0781472680410469, 0.07098174613800504], 'accuracy': [0.8194924341713332, 0.907780293101394, 0.9277969736685333, 0.9354223757893483, 0.9375670201358275, 0.9516263552960801, 0.9541284403669725, 0.953890146550697, 0.9602049326819969, 0.970451566781842, 0.9743834147503873, 0.969140950792327, 0.9737876802096985, 0.9748600023829381, 0.9791492910758965, 0.9812939354223758, 0.9712855951388062, 0.9839151674014059, 0.9812939354223758, 0.9829619921363041]}"
S2,0.7854671280276817,0.8798449612403101,0.0,0.43992248062015504,454,1,123,0,20,./ckpt_fixed/wesad/cnn1d/S2/wesad_S2_checkpoint.pt,"{'0': {'precision': 0.7868284228769498, 'recall': 0.9978021978021978, 'f1-score': 0.8798449612403101, 'support': 455.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 123.0}, 'accuracy': 0.7854671280276817, 'macro avg': {'precision': 0.3934142114384749, 'recall': 0.4989010989010989, 'f1-score': 0.43992248062015504, 'support': 578.0}, 'weighted avg': {'precision': 0.6193891564169761, 'recall': 0.7854671280276817, 'f1-score': 0.692611517931386, 'support': 578.0}}","{'loss': [0.4719149955904964, 0.2751864750021014, 0.23445256463886793, 0.18220034979564412, 0.1704881612317245, 0.14841133772307144, 0.1176279201347669, 0.11353154171506505, 0.12036369591013077, 0.10733165930825153, 0.08126261174642067, 0.08353176666384951, 0.08457318326845381, 0.08069479664385114, 0.080737867034239, 0.08487427729488772, 0.08105321026594066, 0.06085428629467525, 0.060905805856595364, 0.07785197953132916], 'accuracy': [0.8460258999643578, 0.914696447665439, 0.9247950576214803, 0.9436853985980753, 0.9487941071640728, 0.9577046453605798, 0.9651894974456457, 0.9687537127242486, 0.9675656409647143, 0.9705358203635499, 0.9793275513841035, 0.9795651657360105, 0.9767137935131281, 0.9790899370321967, 0.9777830580967091, 0.9762385648093145, 0.9806344303195913, 0.9830105738386599, 0.9846738743020078, 0.981109659023405]}"
S3,0.7904599659284497,0.8816169393647738,0.08888888888888889,0.48525291412683136,458,1,122,6,20,./ckpt_fixed/wesad/cnn1d/S3/wesad_S3_checkpoint.pt,"{'0': {'precision': 0.7896551724137931, 'recall': 0.9978213507625272, 'f1-score': 0.8816169393647738, 'support': 459.0}, '1': {'precision': 0.8571428571428571, 'recall': 0.046875, 'f1-score': 0.08888888888888889, 'support': 128.0}, 'accuracy': 0.7904599659284497, 'macro avg': {'precision': 0.8233990147783251, 'recall': 0.5223481753812635, 'f1-score': 0.48525291412683136, 'support': 587.0}, 'weighted avg': {'precision': 0.8043713966818002, 'recall': 0.7904599659284497, 'f1-score': 0.7087563082558926, 'support': 587.0}}","{'loss': [0.5376076886020991, 0.2704879290483658, 0.20932236420155478, 0.18862908957375446, 0.14891571603311343, 0.14829953860750264, 0.1357718678625508, 0.13285390518474563, 0.09592664592166553, 0.10538283429976081, 0.10741937363238475, 0.07670278982618216, 0.06649005064629125, 0.06987238225822189, 0.09360052731692735, 0.05171286827972341, 0.04583964579571198, 0.07660877493721434, 0.056468234487856206, 0.06909655676144472], 'accuracy': [0.7962654614652712, 0.9102045670789725, 0.9325642245480494, 0.94267364414843, 0.9551617507136061, 0.9569457659372027, 0.9627735490009515, 0.9634871550903901, 0.9762131303520457, 0.972882968601332, 0.9707421503330161, 0.9789486203615604, 0.9834681255946718, 0.982278782112274, 0.9758563273073264, 0.9858468125594672, 0.989058039961941, 0.9821598477640342, 0.986441484300666, 0.9828734538534729]}"
S4,0.87248322147651,0.9130434782608695,0.7610062893081762,0.8370248837845229,399,70,6,121,20,./ckpt_fixed/wesad/cnn1d/S4/wesad_S4_checkpoint.pt,"{'0': {'precision': 0.9851851851851852, 'recall': 0.8507462686567164, 'f1-score': 0.9130434782608695, 'support': 469.0}, '1': {'precision': 0.6335078534031413, 'recall': 0.952755905511811, 'f1-score': 0.7610062893081762, 'support': 127.0}, 'accuracy': 0.87248322147651, 'macro avg': {'precision': 0.8093465192941632, 'recall': 0.9017510870842638, 'f1-score': 0.8370248837845229, 'support': 596.0}, 'weighted avg': {'precision': 0.9102472302584745, 'recall': 0.87248322147651, 'f1-score': 0.8806462920243057, 'support': 596.0}}","{'loss': [0.5019703812649711, 0.2859184282040905, 0.2402888532904929, 0.20464605070293085, 0.18037119731688475, 0.15839685227334718, 0.13036095145799273, 0.12509101074300277, 0.10854025950835197, 0.10564324807618286, 0.08751400716421838, 0.09891820956673107, 0.08618885374506367, 0.07584727795468382, 0.07490505146168519, 0.07030129818646506, 0.058980522428698334, 0.06724786486621698, 0.08118205641632861, 0.0578589480809831], 'accuracy': [0.8134301702583641, 0.9070127396118586, 0.9205857840219074, 0.9360638171210859, 0.9466603167043696, 0.9541612096678176, 0.9592808667698536, 0.9669008215263721, 0.9720204786284081, 0.9721395404214788, 0.975949517799738, 0.9754732706274557, 0.9776163829027266, 0.981664483867127, 0.9780926300750089, 0.9823788546255506, 0.9847600904869628, 0.9830932253839743, 0.980473865936421, 0.9857125848315276]}"
